21399,306,641,357
21415,367,625,357
21431,425,435,364
21447,421,413,382
21463,313,204,384
21479,362,592,316
21494,489,310,316
21510,510,548,327
21526,483,191,379
21542,502,404,346
21558,509,399,331
21573,511,339,348
21589,507,694,347
21605,506,651,344
21621,353,270,337
21637,295,407,342
21653,303,253,329
21668,355,420,360
21684,374,650,441
21700,369,663,359
21716,432,636,352
21732,316,408,355
21747,311,245,353
21763,612,421,356
21779,321,338,351
21795,460,385,360
21811,510,194,398
21827,410,559,411
21842,548,616,375
21858,478,422,337
21874,623,594,388
21890,291,594,377
21906,447,567,368
21921,504,291,377
21937,718,466,372
21953,563,259,335
21969,513,671,345
21985,464,281,355
22000,693,655,372
22016,331,663,372
22032,281,611,384
22048,337,486,391
22064,376,584,380
22080,294,571,393
22095,252,303,392
22111,281,255,392
22127,297,602,389
22143,473,631,386
22159,502,617,350
22174,474,422,325
22190,499,645,324
22206,500,506,311
22222,514,502,335
22238,514,191,327
22254,519,302,424
22269,299,464,330
22285,303,237,336
22301,401,378,364
22317,340,457,378
22333,300,223,408
22348,569,580,390
22364,492,641,411
22380,551,482,395
22396,399,331,387
22412,305,254,393
22428,372,622,352
22443,497,133,352
22459,574,627,342
22475,261,585,353
22491,427,564,363
22507,542,272,362
22522,376,583,376
22538,275,551,359
22554,467,571,340
22570,424,452,339
22586,686,588,326
22602,259,627,348
22617,293,456,355
22633,630,336,344
22649,267,652,358
22665,302,569,360
22681,390,565,376
22696,300,346,380
22712,682,622,372
22728,308,633,348
22744,272,218,376
22760,454,187,389
22776,503,610,408
22791,511,662,401
22807,483,192,353
22823,454,429,351
22839,333,453,349
22855,321,490,361
22871,331,525,389
22886,758,468,383
22902,333,251,385
22918,327,381,354
22934,315,637,375
22950,319,660,377
22965,504,475,393
22981,313,111,335
22997,596,647,359
23013,696,624,348
23029,284,270,337
23044,451,638,331
23060,353,589,339
23076,271,367,345
23092,385,303,396
23108,470,278,365
23124,420,548,366
23139,495,556,360
23155,409,556,319
23171,505,584,333
23187,455,578,338
23203,355,544,348
23218,438,389,370
23234,560,582,395
23250,535,472,355
23266,274,239,344
23282,266,611,342
23298,576,420,361
23313,288,660,374
23329,340,619,367
23345,552,258,359
23361,265,666,380
23377,542,637,384
23392,476,635,409
23408,559,582,411
23424,413,413,394
23440,338,641,393
23456,488,500,412
23472,469,605,328
23487,466,195,288
23503,496,318,300
23519,421,563,345
23535,455,522,369
23551,367,513,374
23566,439,553,372
23582,295,538,341
23598,315,624,361
23614,303,453,345
23694,494,457,335
23704,353,592,342
23714,298,538,369
23725,438,278,352
23735,292,649,351
23745,623,397,344
23755,323,454,349
24055,1,374
24065,59
24075,423,531,359
24086,450,575,348
24097,397,392,341
24546,,187,372
24556,4,358
24566,321,452,383
24576,466,677,357
24586,350,584,355
24596,695,525,306
24606,350,467,336
24616,719,301,349
24626,297,215,342
24636,717,625,345
24646,359,641,324
24656,399,81,357
24666,494,613,369
24676,615,560,357
24686,394,556,363
24696,336,623,338
24706,430,382,355
24716,342,130,340
24726,324,610,352
24736,367,327,327
24746,283,599,332
24756,505,634,320
24766,383,622,338
24776,628,453,342
24786,300,625,331
24796,261,560,344
24806,461,541,371
24816,312,599,377
24826,565,609,380
24836,328,494,411
24846,372,492,417
24856,420,481,445
24866,379,256,427
24876,320,222,423
24887,450,419,340
24897,484,605,373
24907,461,517,349
24917,423,654,312
24927,373,541,305
24937,343,484,289
24947,304,517,298
24957,315,302,348
24967,460,190,347
24977,286,435,339
24987,318,422,344
24997,579,293,330
25007,343,312,348
25017,377,278,363
25027,532,623,382
25037,325,596,371
25047,631,146,352
25057,450,404,369
25067,450,422,369
25077,437,397,374
25087,555,590,366
25101,475,578,368
25116,607,619,364
25132,285,594,363
25148,436,526,389
25164,493,635,370
25180,501,339,364
25196,381,502,352
25211,416,416,346
