14956,439,4
14966,
14976,391,623,4
14986,,595,4
14996,541,432,3
15006,373,452,3
15016,448,513,5
15026,94,408,2
15036,632,630,5
15046,563,624,4
15056,682,366,5
15066,437,421,3
15076,478,584,4
15086,332,368,2
15096,336,541,3
15106,455,585,3
15116,410,199,3
15126,50,402,3
15136,8,617,5
15146,720,608,5
15156,559,574,4
15166,578,593,4
15176,7,634,5
15186,630,579,5
15196,621,341,2
15206,434,309,1
15216,413,572,4
15226,589,555,3
15236,328,424,2
15246,450,590,4
15256,615,629,4
15266,643,631,4
15276,512,543,3
15286,561,230,1
15296,7,711,5
15306,8,230,2
15316,186,588,4
15326,483,353,2
15336,608,638,4
15346,470,263,2
15356,392,281,2
15366,490,538,3
15377,389,304,2
15387,402,244,1
15397,11,320,2
15407,8,201,1
15418,567,373,2
15428,8,314,2
15438,688,508,3
15448,173,632,4
15458,635,264,4
15468,168,249,1
15478,382,455,2
15488,605,370,2
15499,523,587,2
15510,646,550,3
15520,303,302,2
15530,592,312,3
15540,456,365,2
15551,433,588,4
15561,494,594,4
15571,568,611,5
15581,642,559,6
15591,603,521,5
15601,472,452,3
15612,472,460,3
15623,570,581,5
15633,641,267,1
15643,453,276,2
15659,603,457,2
15675,562,614,5
15690,581,600,5
15706,583,599,5
15722,393,373,5
15737,656,600,5
15753,569,216,2
15769,663,610,5
15785,601,579,4
15798,8,484,3
15816,579,249,2
15831,49,618,5
15847,485,514,5
15863,676,629,4
15879,494,463,2
15892,8,384,2
15910,687,454,3
15926,646,617,4
15942,512,424,5
15957,419,543,3
15973,186,318,2
15989,631,538,5
16002,8,118,1
16020,887,512,3
16036,422,545,3
16052,408,477,5
16067,611,595,4
16081,8,169,0
16097,7,202,1
16114,666,602,4
16130,609,310,1
16146,343,140,2
16162,430,361,2
16175,8,665,5
16193,661,677,5
16209,324,602,4
16222,7,127,1
16239,54,468,3
16256,691,640,4
16269,7,214,1
16287,170,222,1
16303,543,198,3
16319,631,328,2
16333,93,647,6
16350,634,355,5
16366,577,618,4
16381,494,651,6
16397,585,607,4
16413,358,523,3
16429,457,269,2
16444,610,645,5
16458,8,239,1
16475,35,588,6
16491,399,588,3
16507,633,629,5
16523,481,609,4
16539,505,611,5
16554,606,458,2
16570,546,105,0
16586,181,657,5
16602,476,632,3
16617,108,268,3
16633,637,206,0
16649,590,613,5
16664,598,611,5
16680,551,638,4
16696,739,612,5
16712,585,401,2
16727,650,596,5
16743,334,497,2
16759,317,520,4
16775,472,569,4
16790,602,352,3
16804,7,231,3
16822,660,614,5
16837,466,584,4
16853,418,303,2
16869,572,583,4
16885,588,610,5
16900,560,607,5
16916,393,637,5
16930,8,433,3
16947,421,266,2
16963,567,602,5
16977,8,342,2
16994,480,660,6
17010,528,373,3
17026,367,139,3
17042,606,251,1
17057,524,122,1
17073,571,328,2
17086,8,89,3
17104,476,464,5
17120,351,130,1
17136,437,396,5
17152,436,597,5
17167,571,597,5
17181,8,595,4
17199,471,441,3
17214,668,650,5
17230,582,232,1
17246,379,492,3
17262,453,342,1
17275,8,342,4
17293,881,617,5
17309,623,657,5
17324,640,351,4
17340,536,518,4
17356,642,622,4
17372,346,114,0
17387,375,516,3
17403,608,603,5
17419,588,600,5
17435,590,498,3
17450,440,490,3
17464,8,422,5
17482,550,714,6
17497,471,303,2
17513,432,615,5
17529,505,500,3
17545,523,110,1
17560,470,364,2
17576,502,444,4
17592,453,592,4
17608,615,610,5
17621,7,117,3
17639,360,190,1
17655,354,607,5
17670,644,286,1
17686,458,378,2
17702,478,193,2
17718,437,404,1
17733,480,411,2
17749,510,513,2
17765,397,625,5
17780,404,449,3
17796,488,331,2
17812,419,334,2
17825,8,478,3
17843,171,490,3
17858,32,571,5
17875,409,498,3
17890,584,648,5
17906,334,474,3
17920,7,510,6
17938,558,637,5
17953,457,599,5
17969,634,239,2
17985,472,411,5
18000,458,457,3
18016,571,626,5
18032,547,625,5
18048,401,621,5
18063,364,243,1
18079,540,619,5
18095,320,397,3
18111,574,594,4
18126,538,500,3
18142,672,617,5
18158,346,507,5
18173,607,617,5
18189,638,607,4
18205,541,598,5
18218,7,472,3
18236,661,612,4
18252,648,518,3
18268,416,545,3
18283,441,579,5
18299,354,546,5
18315,536,374,4
18331,629,506,3
18346,556,456,2
18362,468,642,5
18378,482,621,5
18394,689,182,1
18409,446,365,2
18425,407,446,2
18441,490,633,5
18456,585,132,3
18472,428,164,1
18488,620,630,5
18503,54,172,1
18519,412,405,5
18535,647,662,6
18551,524,630,5
18567,392,626,5
18580,8,358,2
18598,568,290,5
18614,492,432,5
18629,433,608,5
18645,630,459,3
18661,637,450,3
18677,466,602,5
18692,576,600,5
18708,472,539,4
18724,546,531,5
18739,410,639,5
18754,563,90,0
18771,363,441,2
18787,565,601,4
18802,400,214,1
18818,666,388,2
18834,523,326,2
18850,500,268,1
18863,8,264,2
18881,596,609,4
18897,408,242,3
18912,500,367,4
18927,65,370,2
18944,525,343,4
18959,587,270,4
18975,617,396,3
18991,537,645,5
19007,533,583,5
19022,503,569,3
19038,648,236,1
19054,542,196,1
19070,633,643,4
19083,8,412,3
19099,8,403,2
19117,679,626,5
19130,8,662,6
19148,528,650,5
19163,22,302,2
19179,189,539,4
19193,8,223,4
19211,682,601,4
