17956,12,200
23289,308,516,192
23299,445,512,194
23309,597,6,213
23319,443,415,266
23329,507,500,220
23343,370,905,205
23359,362,562,189
23375,411,518,170
23391,390,522,194
23407,452,560,188
23422,245,270,187
23438,634,481,176
23454,236,136,185
23470,250,464,176
23487,493,1009,170
23501,192,438,163
23517,439,694,154
23533,279,550,186
23549,643,332,167
23565,441,546,153
23581,273,545,162
23596,510,371,178
23612,228,533,205
23628,214,388,192
23644,294,514,205
23660,272,525,188
23675,315,493,183
23691,348,546,185
23707,629,516,183
23723,493,519,176
23739,466,427,185
23755,277,544,146
23770,340,676,185
23786,364,533,339
23802,315,329,314
23818,322,579,128
23834,555,549,134
23849,592,558,179
23865,278,545,200
23881,658,340,525
23897,324,303,100
23913,383,563,188
23929,286,519,260
23944,255,513,174
23960,374,512,156
23976,305,515,144
23992,347,308,190
24009,433,1018,189
24024,279,191,164
24039,431,471,132
24055,408,719,196
24071,400,539,170
24087,275,515,179
24103,588,118,164
24118,288,364,168
24134,469,493,347
24150,222,784,485
24166,216,327,141
24183,404,1019,105
24198,203,954,136
24213,481,392,139
24229,264,324,154
24244,336,524,90
24261,570,547,124
24275,561,6,260
24293,222,1019,309
24308,326,362,191
24324,474,554,178
24340,289,523,182
24356,231,513,170
24371,230,513,198
24387,273,634,200
24403,361,528,197
24419,256,514,155
24435,386,513,145
24451,535,512,151
24466,276,539,150
24480,241,5,109
24498,602,445,242
24514,451,819,162
24530,444,551,185
24545,312,517,192
24561,399,523,244
24577,312,514,607
24591,237,6,157
24609,255,989,212
24622,648,6,194
24640,244,436,246
24656,203,503,201
24672,502,711,177
24685,411,6,217
24703,236,408,283
24719,314,500,197
24735,327,510,192
24751,309,511,368
24767,613,836,160
24782,516,554,574
24798,467,518,159
24814,345,259,167
24830,240,371,134
24846,544,117,149
24861,323,159,140
24877,433,704,636
24893,248,587,139
24910,429,1019,165
24925,435,468,166
24941,583,503,606
24956,249,539,167
24972,568,275,179
24988,283,472,207
25004,354,549,235
25020,284,518,202
25035,275,513,203
25051,428,515,558
25067,270,513,169
25083,360,519,289
25099,278,512,178
25115,382,512,232
25130,569,533,530
25146,341,517,607
25162,640,532,237
25178,393,579,264
25194,315,579,103
25209,282,432,155
25225,255,567,136
25241,495,590,622
25256,257,386,98
25273,298,658,186
25289,290,574,173
25304,297,520,170
25320,282,513,165
25336,297,513,147
25352,299,512,187
25368,406,510,177
25383,524,513,195
25399,304,205,173
25415,310,473,188
25431,531,687,197
25447,246,546,200
25463,282,516,197
25478,426,520,213
25492,187,6,156
25510,272,438,263
25526,269,502,197
25542,282,682,177
25557,397,533,222
25571,332,6,174
25597,264,1019,267
25607,255,618,183
25621,456,513,176
25637,248,569,203
25674,217,532,181
25685,258,515,208
25695,267,549,207
25706,340,540,191
25717,254,545,187
25731,278,535,207
25747,558,528,505
25764,324,514,156
25779,482,557,171
25795,441,524,549
25810,322,513,139
25826,592,511,545
25842,249,525,235
25858,570,526,247
25874,575,507,570
