29315,513,512,8
29325,511,513,8
29335,512,512,8
29345,512,513,8
29356,513,512,8
29366,513,512,8
29376,512,513,9
29386,513,512,8
29396,513,512,8
29406,512,512,8
29416,512,512,8
29427,513,513,8
29437,512,512,9
29447,512,513,9
29457,513,512,8
29467,512,512,8
29477,512,513,9
29487,513,512,8
29498,512,513,8
29508,513,513,8
29518,512,513,8
29528,513,512,9
29538,512,512,8
29549,512,513,8
29560,513,512,8
29576,512,512,8
29592,512,513,8
29607,512,513,9
29623,511,513,9
29639,512,512,8
29654,513,512,8
29670,512,512,8
29686,513,512,9
29702,513,513,8
29717,513,512,8
29733,513,512,8
29749,512,513,9
29765,512,513,9
29780,512,512,8
29796,512,513,8
29812,512,512,8
29827,512,513,8
29843,513,513,9
29859,512,512,8
29875,512,513,8
29890,512,513,8
29906,512,513,8
29922,512,513,9
29938,513,512,8
29953,512,513,9
29969,513,512,8
29985,512,512,8
30000,512,513,8
30016,513,512,8
30032,513,512,8
30048,512,513,9
30063,513,512,8
30079,512,513,9
30095,512,512,8
30111,513,512,8
30126,513,512,9
30142,513,512,9
30158,513,512,8
30173,512,513,8
30189,513,512,9
30205,512,511,9
30221,513,512,8
30236,511,513,9
30252,512,513,9
30268,513,512,8
30284,512,513,9
30299,512,513,9
30315,512,513,9
30331,513,512,8
30346,512,512,8
30362,512,513,8
30378,513,512,8
30394,513,512,9
30409,512,513,9
30425,512,513,9
30441,512,513,9
30457,511,513,9
30472,512,513,8
30488,512,512,8
30504,513,513,9
30519,512,511,8
30535,512,513,8
30551,512,513,8
30567,512,513,9
30582,512,513,9
30598,512,513,8
30614,512,513,9
30630,512,512,8
30645,513,512,8
30661,512,512,8
30677,513,512,8
30692,512,513,9
30708,513,512,8
30724,512,513,8
30740,513,512,8
30755,512,512,8
30771,512,513,9
30787,512,513,8
30803,512,513,8
30818,512,513,8
30834,512,513,8
30850,513,512,8
30865,512,513,8
30881,512,513,9
30897,512,512,8
30913,513,512,8
30928,513,512,8
30944,512,513,8
30960,512,513,8
30976,513,512,8
30991,513,512,9
31007,512,513,8
31023,512,513,8
31038,513,512,8
31054,512,512,9
31070,512,512,8
31086,513,512,9
31101,512,513,8
31117,512,512,8
31133,512,512,8
31149,512,513,8
31164,513,513,8
31180,512,513,8
31196,513,512,8
31212,512,511,8
31227,513,512,9
31243,512,512,9
31259,513,512,9
31274,512,512,8
31290,512,512,8
31306,513,512,8
31322,512,512,8
31337,513,512,9
31353,512,512,9
31369,513,512,8
31385,513,512,8
31400,513,512,8
31416,513,512,8
31432,513,513,8
31447,512,512,8
31463,512,512,8
31479,512,512,9
31495,513,512,9
31510,512,513,8
31526,512,512,8
31542,512,513,9
31558,512,513,9
31573,512,512,8
31589,512,512,8
31605,513,512,8
31620,512,512,8
31636,512,513,8
31652,512,512,8
31668,513,512,9
31683,512,512,8
31699,512,513,9
31715,512,512,8
31731,513,512,8
31746,512,513,8
31762,512,512,8
31778,512,513,9
31793,513,512,8
31809,512,513,8
31825,513,512,8
31841,513,512,9
31856,512,512,9
31872,513,512,8
31888,513,512,8
31904,513,512,8
31919,513,513,8
31935,512,513,8
31951,513,512,9
31966,514,512,9
31982,512,513,8
31998,512,513,9
32014,513,512,8
32029,512,513,8
32045,512,512,8
32061,512,513,8
32077,512,512,8
32092,512,513,8
32108,512,513,9
32124,512,513,9
32139,512,513,9
32155,512,513,9
32171,513,512,8
32187,512,513,9
32202,511,513,9
32218,512,512,8
32234,513,512,8
32250,512,513,9
32265,513,512,9
32281,512,513,8
32297,513,512,9
32312,513,512,9
32328,512,512,8
32344,512,513,9
32360,513,512,8
32375,512,512,9
32391,512,512,8
32407,513,512,9
32423,512,512,9
32438,512,512,8
32454,512,512,8
32470,512,512,8
32485,512,513,9
32501,514,512,8
32517,512,512,9
32533,513,512,9
32548,512,513,9
32564,513,512,8
32580,512,513,9
32596,513,513,9
32611,512,513,9
32627,511,513,9
32643,512,513,9
32658,512,513,9
32674,513,512,8
32690,512,513,9
32706,513,512,8
32721,513,512,9
32737,512,512,8
32753,512,513,9
32769,512,513,9
32784,512,513,9
32800,513,512,8
32816,512,512,9
32831,513,512,9
32847,513,513,8
32863,512,512,8
32879,513,512,9
