1732143,2
1732154,359,349,204
1732164,360,346,200
1732174,371,332,215
1732184,351,356,218
1732194,343,332,204
1732204,350,478,225
1732214,340,340,213
1732224,352,411,216
1732234,345,361,202
1732244,341,357,200
1732254,351,630,210
1732264,350,346,208
1732274,348,348,219
1732284,357,330,219
1732294,343,355,193
1732304,337,479,193
1732314,351,479,208
1732324,345,347,222
1732334,347,338,213
1732344,352,335,202
1732354,352,327,211
1732364,355,598,185
1732374,361,479,215
1732384,369,455,215
1732394,359,386,221
1732404,364,335,215
1732414,355,345,192
1732424,352,498,222
1732434,351,345,208
1732444,354,399,208
1732454,372,604,191
1732464,354,582,197
1732474,347,339,191
1732484,356,510,213
1732494,353,340,206
1732504,356,338,209
1732514,357,354,209
1732524,362,341,209
1732534,348,354,208
1732544,364,454,229
1732554,352,390,215
1732564,344,383,194
1732574,350,333,201
1732584,364,339,215
1732594,349,338,208
1732604,358,349,209
1732614,357,344,220
1732624,367,350,204
1732634,358,352,204
1732644,359,349,210
1732654,364,348,221
1732664,359,344,198
1732674,361,442,211
1732689,353,341,201
1732705,353,349,213
1732721,360,341,212
1732737,358,329,217
1732753,341,354,225
1732768,349,326,224
1732784,345,341,203
1732800,349,456,209
1732816,345,340,209
1732832,355,388,235
1732847,369,362,220
1732863,363,334,199
1732879,352,503,213
1732895,346,544,231
1732911,349,433,224
1732927,351,343,201
1732942,346,424,231
1732958,348,488,221
1732974,361,323,210
1732990,362,539,207
1733006,346,332,197
1733021,360,444,216
1733037,352,353,201
1733053,359,369,226
1733069,366,400,234
1733085,361,544,212
1733101,353,335,205
1733116,362,602,198
1733132,373,335,215
1733148,354,468,203
1733164,365,355,208
1733180,371,517,220
1733195,362,505,216
1733211,352,508,211
1733227,355,371,213
1733243,353,326,195
1733259,353,334,196
1733275,360,342,181
1733290,350,356,205
1733306,354,355,228
1733322,354,340,220
1733338,360,337,223
1733354,361,335,214
1733369,353,344,194
1733385,354,344,183
1733401,353,359,203
1733417,347,337,203
1733433,351,336,227
1733449,355,346,228
1733464,350,335,203
1733480,354,343,209
1733496,351,341,200
1733512,359,342,217
1733528,353,346,221
1733543,357,335,186
1733559,357,341,212
1733575,349,343,201
1733591,352,349,216
1733607,352,335,197
1733623,348,373,194
1733638,352,404,206
1733654,349,341,220
1733670,355,342,211
1733686,351,586,206
1733702,344,329,223
1733717,337,347,203
1733733,341,348,218
1733749,351,425,219
1733765,343,348,217
1733781,349,493,213
1733797,341,620,208
1733812,349,337,249
1733828,352,342,215
1733844,365,392,218
1733860,343,338,226
1733876,343,358,218
1733891,370,335,219
1733907,355,491,225
