23547,512,512,4
23563,512,512,4
23579,513,512,3
23594,512,512,4
23610,512,512,4
23626,512,513,4
23642,512,512,4
23657,512,512,4
23673,513,512,4
23689,513,512,3
23704,512,512,4
23720,513,512,4
23736,512,513,4
23752,512,512,4
23767,513,512,3
23783,512,513,4
23799,512,512,4
23815,513,512,3
23830,513,512,3
23846,513,512,3
23862,513,512,3
23877,512,512,4
23893,513,512,3
23909,511,513,4
23925,513,512,3
23940,512,512,4
23956,512,512,4
23972,513,512,3
23988,512,512,4
24003,512,512,4
24019,512,512,4
24035,513,512,3
24050,512,512,4
24066,512,512,4
24082,513,512,4
24098,513,512,3
24113,512,512,4
24129,513,512,3
24145,513,512,4
24161,512,512,4
24176,513,512,3
24192,513,512,4
24208,512,512,4
24223,512,512,4
24239,512,512,4
24255,513,512,4
24271,511,513,4
24286,512,512,4
24302,513,512,4
24318,512,512,4
24334,513,512,3
24349,513,512,3
24365,513,512,4
24381,512,512,4
24396,512,512,4
24412,512,512,4
24428,513,512,3
24444,512,513,4
24459,513,512,3
24475,512,512,4
24491,513,512,4
24507,512,512,4
24522,512,512,4
24538,513,512,4
24554,512,512,4
24570,512,512,4
24585,513,512,3
24601,512,512,4
24617,513,512,4
24632,513,512,3
24648,512,512,4
24664,513,512,3
24680,512,512,4
24695,513,512,4
24711,512,513,4
24727,512,513,4
24743,512,512,4
24758,513,512,4
24774,512,512,4
24790,512,512,4
24805,513,512,4
24821,512,512,4
24837,512,512,4
24853,512,512,4
24868,512,512,4
24884,511,513,4
24900,513,512,3
24916,512,512,4
24931,512,512,4
24947,512,512,4
24963,512,512,4
24978,512,513,4
24994,513,512,3
25010,513,512,3
25026,512,512,4
25041,512,512,4
25057,513,512,4
25073,512,512,4
25089,512,512,4
25104,512,512,4
25120,513,512,4
25136,512,512,4
25151,513,512,3
25167,512,512,4
25183,513,512,3
25199,513,512,3
25214,512,512,4
25230,513,512,4
25246,512,512,4
25262,513,512,3
25277,513,512,3
25293,513,512,4
25309,512,512,4
25324,513,512,3
25340,512,512,4
25356,513,512,4
25372,512,512,4
25387,513,512,4
25403,512,512,4
25419,513,512,3
25435,512,512,4
25450,513,512,4
25466,513,512,3
25482,512,513,4
25497,512,512,4
25513,512,512,4
25529,513,512,4
25545,513,512,3
25560,512,513,4
25576,512,513,4
25592,512,512,4
25608,513,512,3
25623,512,512,4
25639,512,512,4
