6955,
6965,632,300,2
6975,239,2
6985,568,404,2
6995,563,239,2
7005,95,678,5
7015,529,690,5
7025,630,398,3
7035,473,278,3
7045,669,510,4
7056,518,258,2
7066,532,662,5
7076,74,311,2
7086,532,288,2
7097,505,503,4
7107,379,588,6
7117,642,642,5
7127,8,246,2
7137,52,270,2
7147,653,286,2
7157,572,593,4
7167,330,226,4
7178,607,242,2
7188,580,326,3
7198,523,674,4
7208,375,571,5
7218,557,423,2
7229,621,447,5
7239,489,465,3
7249,602,234,1
7260,443,321,2
7270,441,467,3
7280,579,217,2
7290,510,219,2
7301,606,493,3
7311,479,214,1
7321,490,483,3
7331,502,683,6
7341,635,277,2
7351,565,529,5
7361,368,479,4
7372,691,261,3
7382,591,654,4
7393,530,652,5
7403,458,232,1
7413,820,557,6
7423,510,640,5
7433,329,480,4
7443,432,466,4
7454,672,654,5
7464,694,556,4
7474,561,364,2
7484,426,212,2
7494,450,273,3
7504,539,262,2
7514,472,697,5
7524,572,670,6
7534,541,626,5
7544,625,548,4
7554,515,362,3
7564,412,336,2
7574,476,278,2
7584,567,471,4
7594,106,525,4
7604,379,327,3
7614,548,282,2
7624,455,614,4
7634,8,194,2
7645,418,332,3
7661,561,591,4
7677,603,413,3
7693,527,413,3
7707,41,658,6
7724,675,401,3
7740,443,406,3
7753,8,301,2
7771,550,282,2
7787,331,666,5
7802,566,236,2
7818,472,389,3
7834,359,287,2
7849,25,264,2
7865,561,290,2
7880,49,257,2
7897,640,277,2
7911,34,273,2
7928,128,313,2
7944,495,401,2
7957,8,249,2
7975,673,586,6
7991,519,325,2
8007,357,349,2
8022,424,527,4
8038,439,662,5
8054,535,318,2
8070,588,547,4
8085,582,576,4
8101,616,237,1
8117,540,210,1
8133,536,308,2
8148,586,434,3
8164,549,682,5
8180,649,329,3
8196,623,356,2
8211,354,357,6
8227,658,244,2
8243,342,289,2
8258,450,270,4
8274,666,571,5
8290,641,627,4
8306,354,620,5
8321,257,200,2
8337,466,410,3
8353,653,519,4
8369,626,538,4
8384,565,410,3
8400,518,297,2
8416,523,654,5
8431,499,383,3
8447,406,344,3
8463,563,477,3
8479,600,350,2
8494,413,398,3
8510,500,649,5
8526,581,421,4
8542,506,296,2
8557,559,342,2
8573,675,457,4
8589,650,205,1
8604,582,257,2
8620,530,423,3
8636,334,307,3
8652,656,350,2
8666,20,558,4
8681,8,535,6
8699,625,247,2
8714,472,300,2
8730,547,247,2
8744,8,713,5
8760,55,297,2
8777,163,281,2
8793,112,254,2
8809,529,220,2
8822,8,294,2
8840,585,673,4
8856,463,343,2
8871,439,334,2
8885,8,278,1
8903,683,410,3
8919,489,355,4
8934,448,455,3
8950,657,313,2
8966,468,313,2
8982,626,249,2
8997,619,364,2
9013,260,571,3
9029,493,323,2
9044,475,314,5
9060,317,240,3
9076,623,228,2
9092,472,313,2
9107,558,265,2
9123,614,237,3
9139,467,197,4
9155,557,389,3
9170,382,655,5
9186,439,196,2
