5957,12,136
11249,512,512,147
11265,513,511,370
11281,443,515,789
11297,395,511,316
11313,494,510,349
11328,510,510,423
11344,509,511,244
11360,511,511,162
11376,510,512,409
11392,510,513,235
11407,502,513,261
11423,479,514,235
11440,508,1019,218
11455,454,363,615
11471,401,493,281
11487,497,509,206
11502,488,512,137
11518,507,662,345
11534,511,742,163
11550,492,635,779
11566,464,528,231
11582,505,514,172
11595,509,6,332
11613,510,427,243
11629,510,500,229
11645,503,758,174
11661,416,544,201
11674,492,6,161
11692,506,421,237
11708,512,501,338
11724,498,512,159
11740,414,695,200
11755,495,536,202
11771,509,516,293
11787,448,512,208
11802,446,32,209
11819,437,451,361
11834,376,504,147
11850,495,511,234
11866,508,513,235
11882,433,512,204
11898,502,583,184
11913,510,425,141
11929,400,227,150
11945,387,490,174
11961,479,478,154
11977,508,508,180
11993,495,488,214
12008,423,711,145
12024,500,393,441
12040,498,413,210
12056,463,500,176
12072,386,510,502
12087,383,513,695
12103,383,512,189
12119,494,510,540
12136,509,1019,474
12151,620,451,169
12167,425,317,174
12182,497,801,344
12198,495,441,142
12214,508,754,309
12230,445,573,667
12246,488,526,191
12262,502,514,150
12277,508,393,447
12293,512,335,139
12309,434,477,189
12325,431,507,137
12341,486,513,125
12356,509,512,247
12372,506,513,133
12388,511,513,446
12404,735,510,115
12420,406,510,178
12436,542,278,155
12451,425,474,281
12467,435,520,174
12483,501,783,388
12499,510,413,263
12515,512,500,299
12530,482,511,666
12546,507,829,101
12562,513,552,116
12578,743,518,716
12594,495,514,494
12610,442,512,116
12625,503,513,121
12641,400,498,130
12657,416,307,136
12673,416,487,131
12689,478,510,117
12705,505,653,688
12720,431,692,502
12736,501,535,119
12752,510,294,192
12768,511,485,107
12784,512,508,206
12799,602,795,505
12815,487,661,222
12831,505,560,460
12846,438,49,216
12863,502,453,254
12878,510,505,411
12894,508,538,162
12910,512,511,180
12926,505,303,223
12942,470,290,876
12958,507,484,260
12973,511,509,293
12989,510,511,230
13005,457,966,803
13021,490,436,174
13037,509,502,259
13052,512,512,258
13068,507,512,561
13084,510,512,441
13100,511,512,187
13116,509,510,728
13133,495,1011,713
13147,507,575,531
13163,509,520,204
13179,511,513,516
13204,512,513,235
13215,512,512,256
13227,511,466,219
13242,513,367,588
13260,462,406,188
13274,526,601,722
13290,658,641,713
13306,442,361,409
13321,502,576,229
13356,412,520,194
13366,381,513,157
13377,374,512,220
13388,488,395,422
13401,550,552,691
13416,455,177,347
13432,493,412,747
13448,510,498,201
13464,393,511,490
13480,429,512,145
13495,501,513,246
13511,511,513,770
13527,401,512,258
13543,477,510,458
13559,364,974,323
13575,410,571,231
13590,423,519,194
13606,478,513,163
13622,466,238,229
13638,506,808,173
13654,512,456,229
13669,512,615,237
13685,484,525,262
13701,481,175,208
13717,395,469,190
13733,494,506,245
13749,509,512,128
13763,511,512,90
13780,481,665,483
13796,508,689,248
13812,509,582,243
13828,511,256,160
13843,506,437,141
13859,509,843,161
13875,491,522,495
13891,508,336,122
13907,423,481,118
13923,494,671,140
13938,510,579,710
13953,460,258,92
13970,505,480,741
13986,510,508,710
14002,510,510,691
14017,511,511,630
14033,511,511,175
14049,512,512,145
14065,663,515,502
14081,442,510,288
14096,485,510,164
14112,503,706,183
14128,725,358,603
14144,442,668,158
14160,449,270,198
14176,388,469,193
14191,485,506,209
14207,445,632,506
14223,503,854,745
14239,475,568,219
14255,510,519,566
14270,475,513,263
14286,507,513,173
14302,496,512,302
14317,498,95,226
14334,510,369,233
14350,510,494,592
14365,547,511,141
14381,394,512,200
14397,430,513,757
14413,501,513,753
14429,509,511,626
14444,404,832,140
14460,494,552,172
14476,442,501,210
14492,418,516,686
14508,425,513,196
14524,492,513,235
14539,508,512,133
14555,511,512,327
14571,729,512,706
14587,458,513,248
14603,389,511,194
14618,496,512,239
14634,481,512,188
14650,508,513,220
14666,437,505,191
14682,459,517,140
14698,505,496,183
14713,512,506,139
14729,512,176,186
14745,511,468,190
14761,505,631,198
14777,510,696,267
14792,448,536,173
14806,527,6,193
14824,406,402,224
14841,490,1019,156
14856,509,537,121
14872,511,163,102
14887,516,312,147
14903,466,488,307
14920,483,1018,158
14935,436,626,307
14951,400,523,176
14966,489,626,168
14982,508,535,213
14998,504,535,167
15014,502,422,160
15030,685,428,156
15046,407,547,125
15060,496,201,89
15077,416,472,222
15093,496,507,489
15109,507,513,150
15125,508,691,334
15141,490,1019,221
15156,502,608,199
15170,422,6,497
15188,502,439,216
15204,510,504,181
15219,510,511,137
15236,503,1018,644
15250,530,74,196
15267,398,456,221
15283,392,614,166
15299,494,418,169
15314,493,500,144
15330,464,511,209
15346,450,512,292
15362,491,678,113
15378,508,261,119
15393,658,456,623
15408,475,505,75
15425,419,511,177
15441,528,517,291
15457,570,501,144
15473,378,509,182
15488,493,510,233
15505,406,1019,224
15520,485,629,263
15536,508,327,290
15552,513,339,256
15567,484,490,292
15583,456,510,265
15599,504,513,388
15615,506,513,497
15631,444,564,322
15647,503,391,486
15662,510,666,510
15690,512,463,466
15700,510,339,507
15711,511,489,509
15726,468,514,510
15750,504,665,513
15760,509,549,510
15773,510,692,480
15807,511,710,508
15817,511,600,510
15827,509,524,489
15837,489,515,411
15852,474,512,449
15868,496,513,504
15884,434,513,378
15900,619,628,411
15915,418,202,223
15931,500,475,285
15947,500,566,257
15963,510,629,232
15979,406,421,204
15995,498,541,273
16010,507,519,235
16026,511,383,628
16042,440,514,182
16058,459,368,204
16074,492,494,215
16089,508,510,210
16105,493,512,452
16121,505,512,447
16136,587,513,81
16153,463,509,175
16169,468,510,144
16184,571,510,263
16200,632,513,370
16216,490,513,148
16232,509,512,688
16248,719,513,274
16262,438,512,66
16279,413,512,168
16295,499,513,133
16311,511,512,319
16326,513,511,96
16342,512,512,142
16358,507,526,174
16374,508,605,107
16390,510,524,169
16406,510,514,165
16422,517,841,157
16437,510,435,158
16453,395,626,151
16469,496,526,199
16485,724,514,642
16501,472,513,307
16515,475,54,150
16532,506,311,145
16548,517,487,301
16564,509,510,369
16581,420,1018,129
16596,496,623,137
16611,510,526,205
16627,511,514,181
16641,452,6,205
16659,503,712,246
16675,468,323,256
16690,496,539,224
